Date,State,Consumption
01-01-2024,Tamilnadu,347.25
02-01-2024,Manipur,605.12
03-01-2024,Telengana,444.63
04-01-2024,Pondicherry,974.54
05-01-2024,Tamilnadu,864.02
06-01-2024,Tripura,749.56
07-01-2024,Telengana,312.39
08-01-2024,Telengana,330.46
09-01-2024,Delhi,136.39
10-01-2024,Tripura,739.6
11-01-2024,Andhra,199.8
12-01-2024,Karnataka,495.4
13-01-2024,Sikkim,281.55
14-01-2024,Uttarakhand,906.19
15-01-2024,Karnataka,527.83
16-01-2024,Punjab,606.95
17-01-2024,Sikkim,725.96
18-01-2024,Sikkim,225.4
19-01-2024,Mizoram,643.98
20-01-2024,Odisha,585.86
21-01-2024,Kerala,282.76
22-01-2024,Manipur,948.57
23-01-2024,Manipur,638.98
24-01-2024,Tripura,725.31
25-01-2024,Sikkim,892.42
26-01-2024,Andhra,661.92
27-01-2024,UP,366.07
28-01-2024,Tripura,194.94
29-01-2024,Tamilnadu,510.88
30-01-2024,Chandigarh,296.6
31-01-2024,Tamilnadu,474.86
01-02-2024,Nagaland,894.95
02-02-2024,Delhi,391.91
03-02-2024,Assam,209.88
04-02-2024,Nagaland,420.67
05-02-2024,Chandigarh,916.15
06-02-2024,Karnataka,344.92
07-02-2024,Manipur,682.92
08-02-2024,Tamilnadu,100.47
09-02-2024,Sikkim,417.31
10-02-2024,Tripura,374.3
11-02-2024,Manipur,248.19
12-02-2024,Andhra,580.68
13-02-2024,Assam,536.35
14-02-2024,Mizoram,723.19
15-02-2024,Telengana,342.47
16-02-2024,Nagaland,319.71
17-02-2024,Telengana,251.46
18-02-2024,Delhi,296.89
19-02-2024,Karnataka,602.29
20-02-2024,Uttarakhand,463.45
21-02-2024,Odisha,158.4
22-02-2024,Delhi,328.52
23-02-2024,Nagaland,322.19
24-02-2024,Sikkim,726.67
25-02-2024,Karnataka,741.04
26-02-2024,Odisha,233.28
27-02-2024,Delhi,997.97
28-02-2024,Assam,340.1
29-02-2024,Kerala,978.95
01-03-2024,Manipur,469.93
02-03-2024,Pondicherry,129.75
03-03-2024,Assam,410.56
04-03-2024,Pondicherry,670.92
05-03-2024,Kerala,712.63
06-03-2024,Arunachal Pradesh,577.84
07-03-2024,Nagaland,503
08-03-2024,Manipur,597.6
09-03-2024,Arunachal Pradesh,633.43
10-03-2024,Chandigarh,172.77
11-03-2024,Manipur,432.69
12-03-2024,Arunachal Pradesh,317.94
13-03-2024,Punjab,822.83
14-03-2024,Tamilnadu,523.27
15-03-2024,Chandigarh,985.08
16-03-2024,Punjab,458.94
17-03-2024,Sikkim,834.79
18-03-2024,Pondicherry,818.51
19-03-2024,Telengana,235.65
20-03-2024,Tripura,557.38
21-03-2024,Mizoram,726.23
22-03-2024,Pondicherry,872.52
23-03-2024,Andhra,393.36
24-03-2024,Andhra,298.22
25-03-2024,Punjab,740.03
26-03-2024,UP,828.55
27-03-2024,Odisha,413.8
28-03-2024,Tamilnadu,186.56
29-03-2024,Chandigarh,946.47
30-03-2024,Tamilnadu,457.81
31-03-2024,Chandigarh,565.98
01-04-2024,Pondicherry,853.94
02-04-2024,Sikkim,708.12
03-04-2024,Karnataka,761.69
04-04-2024,Punjab,288.16
05-04-2024,Kerala,587.3
06-04-2024,UP,726.21
07-04-2024,Andhra,305.7
08-04-2024,Sikkim,257.46
09-04-2024,Pondicherry,983.95
